DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
12-Apr-2017,466.70,467.60,484.00,449.00,460.00,468.50,468.21,113558,4063,35881,31.60
13-Apr-2017,468.50,473.35,485.00,464.00,465.00,466.90,475.74,115708,3417,34397,29.73
17-Apr-2017,466.90,473.95,482.00,463.50,470.15,470.00,472.78,56102,1474,19163,34.16
18-Apr-2017,470.00,462.10,479.95,445.00,449.00,450.05,463.69,38322,1324,19008,49.60
19-Apr-2017,450.05,458.90,504.50,445.00,482.25,481.95,482.60,425086,12237,70040,16.48
20-Apr-2017,481.95,485.50,530.00,479.00,522.45,525.10,509.13,273239,7948,100142,36.65
21-Apr-2017,525.10,570.00,630.10,570.00,630.10,630.10,605.18,1420419,36301,222477,15.66
24-Apr-2017,630.10,651.00,747.00,650.00,718.00,715.20,704.88,2608041,74612,190040,7.29
25-Apr-2017,715.20,715.00,719.80,672.00,675.00,677.75,694.04,572481,19552,101134,17.67
26-Apr-2017,677.75,680.05,710.00,675.75,685.00,685.55,693.13,395661,14563,53516,13.53
27-Apr-2017,685.55,681.00,697.65,662.30,670.70,668.00,677.18,171182,7064,25160,14.70
28-Apr-2017,668.00,734.80,734.80,693.00,700.60,701.65,709.36,539752,17530,80401,14.90
02-May-2017,701.65,700.60,704.90,666.00,672.00,672.60,677.99,105830,4932,30019,28.37
03-May-2017,672.60,673.65,710.00,655.30,690.10,689.80,690.72,392214,12996,47077,12.00
04-May-2017,689.80,700.00,709.00,670.00,681.50,681.80,689.13,167130,5535,42201,25.25
05-May-2017,681.80,682.95,684.40,660.20,663.70,663.05,670.80,77825,3311,23394,30.06
08-May-2017,663.05,663.80,683.90,661.00,663.00,663.60,669.42,62833,2406,15919,25.34
09-May-2017,663.60,664.15,669.95,641.00,647.60,646.60,651.95,46881,2169,19477,41.55
10-May-2017,646.60,646.60,663.00,646.00,648.00,648.30,652.84,49925,2280,14195,28.43
11-May-2017,648.30,641.00,655.00,631.00,635.40,634.00,640.45,35608,1702,16987,47.71
12-May-2017,634.00,634.00,640.05,592.65,608.10,611.35,618.71,66840,2918,20458,30.61
15-May-2017,611.35,616.80,663.20,602.40,648.10,650.15,645.77,217237,8827,37494,17.26
16-May-2017,650.15,654.00,655.95,633.05,639.00,636.70,642.75,55988,2853,17726,31.66
17-May-2017,636.70,638.10,642.90,624.00,624.00,626.75,633.59,23787,980,9924,41.72
18-May-2017,626.75,621.80,624.00,601.50,604.00,604.65,614.44,37216,1498,16716,44.92
19-May-2017,604.65,610.05,618.00,590.90,591.00,594.30,605.41,43801,2121,17563,40.10
22-May-2017,594.30,588.10,603.00,559.85,576.90,574.65,580.43,44113,1934,18646,42.27
23-May-2017,574.65,581.35,581.35,541.00,553.35,553.80,555.66,41536,2105,13365,32.18
24-May-2017,553.80,560.95,561.00,504.05,511.05,516.15,530.21,58400,2741,24353,41.70
25-May-2017,516.15,504.00,527.30,497.00,507.10,508.15,510.71,61922,2349,25573,41.30
26-May-2017,508.15,508.00,517.00,498.00,512.00,511.05,510.33,30179,1226,11628,38.53
29-May-2017,511.05,515.70,539.50,508.00,510.10,511.85,523.35,33406,1502,11289,33.79
30-May-2017,511.85,512.05,512.05,501.00,501.05,504.70,505.66,21330,1020,9766,45.79
31-May-2017,504.70,487.00,537.40,487.00,523.00,520.65,523.64,120804,4929,25238,20.89
01-Jun-2017,520.65,523.25,533.80,513.75,520.40,519.15,523.23,36433,1437,13302,36.51
02-Jun-2017,519.15,519.00,525.00,489.00,496.00,498.40,503.87,53199,1901,23562,44.29
05-Jun-2017,498.40,491.00,548.20,491.00,542.00,539.10,536.34,262721,8680,47209,17.97
06-Jun-2017,539.10,544.50,555.00,536.00,539.00,539.20,544.44,76206,2980,24041,31.55
07-Jun-2017,539.20,541.00,633.00,541.00,602.00,614.10,598.72,575619,17725,66253,11.51
08-Jun-2017,614.10,606.00,638.70,601.00,609.90,609.95,621.25,355619,13593,64417,18.11
09-Jun-2017,609.95,610.00,626.50,605.10,606.45,608.40,615.60,99799,3517,26379,26.43
12-Jun-2017,608.40,603.95,616.40,589.00,590.35,593.20,602.56,73418,2974,18620,25.36
13-Jun-2017,593.20,598.90,624.80,598.15,608.00,608.00,612.48,148609,6680,28093,18.90
14-Jun-2017,608.00,610.40,615.00,601.00,601.30,604.30,607.58,49090,1920,11108,22.63
15-Jun-2017,604.30,604.95,622.00,600.50,608.00,606.85,610.23,71653,3847,16390,22.87
16-Jun-2017,606.85,610.00,614.80,591.00,594.50,595.60,605.35,51258,1997,15754,30.73
19-Jun-2017,595.60,602.80,611.00,591.25,595.50,594.50,601.68,37445,1705,11351,30.31
20-Jun-2017,594.50,597.90,597.90,565.00,569.95,569.10,577.45,50730,1808,23488,46.30
21-Jun-2017,569.10,567.00,587.05,561.10,572.95,571.55,576.22,44493,1655,11478,25.80
22-Jun-2017,571.55,575.45,584.75,561.55,564.55,564.55,574.03,31750,1435,8654,27.26
23-Jun-2017,564.55,568.70,569.60,546.25,551.05,549.70,555.65,24651,1282,11046,44.81
27-Jun-2017,549.70,554.45,559.10,527.55,531.05,535.40,540.63,29473,1416,15994,54.27
28-Jun-2017,535.40,532.85,544.85,527.55,528.45,529.85,533.21,26226,1124,11558,44.07
29-Jun-2017,529.85,533.05,554.80,533.00,541.00,538.85,545.00,55181,2219,14517,26.31
30-Jun-2017,538.85,538.00,546.00,536.95,538.00,539.95,541.23,38375,1734,11556,30.11
03-Jul-2017,539.95,543.00,555.00,540.10,545.50,545.05,546.18,29934,1521,10536,35.20
04-Jul-2017,545.05,545.15,549.20,530.00,532.75,532.65,539.75,17952,700,8897,49.56
05-Jul-2017,532.65,535.85,548.80,527.55,531.10,531.05,535.76,27209,1356,10680,39.25
06-Jul-2017,531.05,533.75,615.00,532.15,606.80,604.45,591.67,476968,15134,79273,16.62
07-Jul-2017,604.45,604.00,615.10,587.05,590.10,589.70,601.98,138478,5402,36512,26.37
10-Jul-2017,589.70,590.00,597.50,572.00,575.00,575.45,582.88,18844,821,12735,67.58
11-Jul-2017,575.45,579.00,584.70,561.55,565.00,564.50,573.63,43320,1740,19045,43.96
12-Jul-2017,564.50,560.10,615.00,560.10,599.80,600.40,600.38,212183,7564,51657,24.35
13-Jul-2017,600.40,604.80,606.80,580.00,583.00,581.55,594.33,60446,2481,21051,34.83
14-Jul-2017,581.55,584.70,604.00,579.00,585.00,585.75,591.24,65217,2826,18451,28.29
17-Jul-2017,585.75,589.50,594.90,575.00,583.50,582.50,584.23,30902,1356,10711,34.66
18-Jul-2017,582.50,582.00,591.85,572.50,574.00,574.55,581.85,30371,1654,13193,43.44
19-Jul-2017,574.55,578.00,593.90,574.00,583.70,583.75,585.25,42884,2617,11234,26.20
20-Jul-2017,583.75,584.00,586.70,569.00,573.50,572.55,575.95,26378,1384,12495,47.37
21-Jul-2017,572.55,575.95,597.70,563.00,568.70,568.95,577.42,62766,2995,15863,25.27
24-Jul-2017,568.95,573.50,583.40,569.20,572.00,571.20,575.42,32445,2064,9075,27.97
25-Jul-2017,571.20,574.00,578.80,561.00,566.05,565.80,570.38,27632,1956,7246,26.22
26-Jul-2017,565.80,568.60,575.25,558.90,561.65,560.80,567.17,15559,1111,5223,33.57
27-Jul-2017,560.80,564.90,595.00,561.00,564.00,563.15,574.72,56508,2608,15807,27.97
28-Jul-2017,563.15,564.70,573.00,559.00,565.00,562.30,565.32,21297,1132,8051,37.80
31-Jul-2017,562.30,567.50,568.95,503.80,540.10,540.85,549.09,38425,1699,21900,56.99
01-Aug-2017,540.85,543.10,550.00,530.00,533.55,534.90,541.50,22437,1396,7596,33.85
02-Aug-2017,534.90,539.00,540.50,530.30,532.20,531.60,534.86,12747,681,5875,46.09
03-Aug-2017,531.60,534.00,546.00,518.75,522.05,522.45,532.65,17457,1209,7873,45.10
04-Aug-2017,522.45,523.00,527.00,513.05,516.00,515.80,518.65,14396,824,6763,46.98
07-Aug-2017,515.80,515.00,532.00,515.00,518.20,518.40,522.34,13882,833,5420,39.04
08-Aug-2017,518.40,518.40,528.00,505.35,507.50,510.40,515.21,19070,1319,9046,47.44
09-Aug-2017,510.40,507.00,507.05,464.85,486.95,483.05,486.90,35427,2072,16299,46.01
10-Aug-2017,483.05,483.00,494.90,432.50,454.50,446.55,466.69,31806,2071,15125,47.55
11-Aug-2017,446.55,437.90,465.00,408.00,445.00,443.40,435.74,40051,2060,16497,41.19
14-Aug-2017,443.40,463.00,481.95,439.60,480.00,477.60,470.26,48869,2878,12574,25.73
16-Aug-2017,477.60,487.00,524.00,477.60,504.90,501.00,504.97,71602,3566,21196,29.60
17-Aug-2017,501.00,503.95,563.00,503.60,525.00,523.95,540.32,308873,12546,41733,13.51
18-Aug-2017,523.95,519.95,531.85,505.00,514.20,513.25,519.08,53111,2739,14802,27.87
21-Aug-2017,513.25,517.90,521.95,491.05,495.35,495.15,509.09,25854,1409,9795,37.89
22-Aug-2017,495.15,497.05,505.00,481.00,490.20,489.60,493.93,25682,1629,6297,24.52
23-Aug-2017,489.60,495.30,509.00,491.10,503.00,500.45,500.71,27059,1334,8607,31.81
24-Aug-2017,500.45,501.00,510.00,491.55,492.70,493.75,500.72,16750,892,4754,28.38
28-Aug-2017,493.75,502.70,526.50,501.55,510.00,515.20,515.49,74489,3404,17969,24.12
29-Aug-2017,515.20,514.00,514.05,491.00,494.00,494.00,499.39,40597,1167,21369,52.64
30-Aug-2017,494.00,500.15,514.50,498.20,500.00,499.90,504.91,31707,1580,8629,27.21
31-Aug-2017,499.90,500.00,518.00,496.05,502.90,502.05,509.42,39899,1729,8102,20.31
01-Sep-2017,502.05,502.00,517.85,502.00,504.80,505.25,509.52,31395,1361,12022,38.29
04-Sep-2017,505.25,505.00,513.25,489.50,495.10,493.55,499.91,29908,1962,8044,26.90
05-Sep-2017,493.55,496.00,517.00,496.00,512.00,509.75,510.29,53187,2221,17590,33.07
06-Sep-2017,509.75,505.00,515.00,503.00,508.00,507.80,508.73,19600,1106,5635,28.75
07-Sep-2017,507.80,508.00,515.35,501.15,503.00,505.35,508.65,12901,589,4834,37.47
08-Sep-2017,505.35,505.25,522.00,505.25,509.00,509.10,514.20,49258,2996,16191,32.87
11-Sep-2017,509.10,516.00,519.75,506.25,508.00,508.10,512.54,17484,833,6307,36.07
12-Sep-2017,508.10,509.00,517.70,502.00,504.00,504.60,509.75,21386,980,5509,25.76
13-Sep-2017,504.60,505.95,509.50,496.10,497.40,497.35,503.70,13339,703,7688,57.64
14-Sep-2017,497.35,500.75,506.05,495.75,500.00,498.20,499.99,9192,457,4064,44.21
15-Sep-2017,498.20,506.00,515.00,494.00,497.15,498.40,504.49,28639,1469,9709,33.90
18-Sep-2017,498.40,501.00,512.00,496.00,499.75,497.80,504.24,35308,1269,11943,33.83
19-Sep-2017,497.80,501.00,512.90,483.35,497.00,497.65,503.92,59978,2243,10840,18.07
20-Sep-2017,497.65,502.45,597.15,496.00,597.15,580.50,566.31,535271,12064,145073,27.10
21-Sep-2017,580.50,613.00,658.00,602.10,623.00,615.50,634.66,1384340,38304,214868,15.52
22-Sep-2017,615.50,607.00,607.00,545.00,550.00,554.85,579.51,272751,9971,72562,26.60
25-Sep-2017,554.85,553.70,553.70,511.00,531.50,527.50,527.04,133464,4011,52744,39.52
26-Sep-2017,527.50,529.90,572.90,526.00,549.90,548.70,550.39,141699,6322,29493,20.81
27-Sep-2017,548.70,552.35,569.00,508.10,516.75,517.30,544.49,90523,4789,26343,29.10
28-Sep-2017,517.30,522.95,542.00,512.00,521.50,520.05,525.37,72558,3880,14877,20.50
29-Sep-2017,520.05,525.00,545.00,517.95,519.95,520.00,529.13,52729,3225,13194,25.02
03-Oct-2017,520.00,529.25,557.00,517.45,528.75,527.35,539.35,115448,4608,22264,19.28
04-Oct-2017,527.35,531.00,544.00,526.55,531.30,532.65,534.71,50252,2340,16170,32.18
05-Oct-2017,532.65,534.95,543.80,527.00,530.20,530.95,534.64,38599,1743,14616,37.87
06-Oct-2017,530.95,537.00,549.90,534.00,535.80,536.60,540.92,60178,2392,19712,32.76
09-Oct-2017,536.60,536.05,540.00,524.05,529.00,527.30,530.23,36709,1715,13559,36.94
